funcion,frecuencia
function,6536
names,5605
paste,5250
table,3506
apply,3114
colnames,2770
as.character,2602
sum,2471
aes,2448
data.frame,2425
sapply,2381
factor,2268
write.table,2242
library,2153
subset,1968
print,1944
ggplot,1923
lapply,1897
if,1823
length,1756
nrow,1513
rownames,1502
as.numeric,1464
levels,1453
round,1435
ddply,1419
is.na,1366
grep,1334
mean,1270
unique,1147
gsub,1123
cbind,1114
log,1099
for,1047
melt,972
opts,971
prop.table,966
geom_line,953
geom_point,907
order,858
join,822
facet_wrap,787
load,742
list,731
recode,670
save,636
dev.off,631
plot,614
write.csv,581
Reduce,560
rep,538
exp,532
sort,513
head,503
rbind,483
pdf,482
do.call,476
as.matrix,470
sink,453
merge,441
ncol,429
which,414
scale,386
ylab,361
str_replace_all,357
dim,352
theme_text,336
geom_bar,332
prop,330
perfiles,327
geom_text,301
display,298
xlab,293
max,292
facet_grid,292
read.csv,291
coord_flip,289
matrix,287
predict,285
load.project,281
tmr,279
ns,278
cast,277
quantile,271
setdiff,257
invlogit,254
cache,253
fitted,252
theme_line,248
coef,243
read.table,242
setwd,238
source,224
return,215
geom_hline,213
strsplit,198
theme_blank,195
system,193
princomp,191
bayesglm,190
na.omit,188
interaction,187
as.formula,178
prop_2,171
daply,171
summary,170
model.matrix,166
tmrRaw,166
geom_abline,165
as.Date,155
lmer,154
min,150
seq,146
scale_y_continuous,139
trim.whitespace,137
str_split,136
ranef,134
theme_bw,134
geom_smooth,127
rnorm,126
sample,126
escribe,124
cut2,123
cutree,123
dlply,122
cat,120
system.file,120
scale_x_discrete,118
abs,117
geom_vline,117
sqrt,117
class,113
cual.es,112
svg,110
diag,109
assign,109
dist,105
ca,104
biplotCustom,104
hclust,103
tablaPonMult,102
biplot,96
get,95
attr,95
is.null,94
expect_that,94
median,92
fixef,92
bs,92
rm,90
theme_rect,87
as.factor,86
tm_map,85
limpiaTab,85
read.spss,84
is.nan,83
hist,83
logit,83
lm,82
cut,82
margin.table,82
duplicated,78
floor,78
union,76
lines,73
tablaPon,69
imprimir,67
glmnet,67
saca.at,66
qplot,65
par,64
formula,62
geom_linerange,61
prcomp,61
quartz,61
sim,59
intersect,58
reorder,57
cv.glmnet,57
abline,56
chron,55
ifelse,54
ylim,52
str_replace,51
perfilesRenglon,50
system.time,48
rhierMnlRwMixture,48
is_true,48
replicate,48
residuals,48
TablasPerfil,48
randomForest,47
equals,46
geom_path,46
plot.MCA,46
pointLabel,46
agrega,45
sd,45
substring,43
scale_colour_manual,43
str_sub,42
ts,41
scale_y_log10,41
which.min,41
expand.grid,40
Corpus,40
MCA,40
VectorSource,40
which.max,39
stock,39
write.csv2,39
dimnames,39
log1p,39
glm,38
subplot,38
set.seed,38
missing,38
loadings,37
stop,36
years,36
toupper,36
geom_histogram,36
with,34
combn,34
months,34
perf,33
year,33
exists,33
dlmFilter,31
mod.frame,30
viewport,30
recodifica,30
unit,29
xlim,29
text,29
rgb,29
gbm.perf,29
is.finite,28
PruebaAntesDespues,27
grps,26
runif,26
cuales,26
ls,25
muestras,25
pmin,25
month,24
Vectorize,24
fetch,24
unclass,24
weekdays,24
pmax,24
dash,24
dlmMLE,24
geom_boxplot,24
correChal,23
str_trim,23
grepl,23
tablas,23
get.fitted,23
log10,23
scale_fill_manual,23
svm,23
str_detect,22
simpleCap,22
plotCaRota,22
rpart,22
La.svd,22
leeIso,21
perfilesColumna,21
dlmModPoly,21
tabla,21
geom_jitter,21
faltantes.ND,21
unsigned.range,20
vplayout,20
yaml.load_file,20
tail,19
vector,19
theme_segment,19
gbm,19
drop,19
tablaPonAux,19
printcp,18
is.numeric,18
wordStem,18
grid.layout,18
scale_fill_brewer,18
mapply,18
biplotCustom2,18
nchar,18
dlm,18
miCorpus,18
napply,18
leeScan,18
tmrUnico,17
chisq.test,17
dropFirst,17
substitute,17
Sys.setlocale,17
day,17
geom_pointrange,17
tolower,17
tune,17
kmeans,17
etiquetar,17
trim,17
validCruzada,16
datGG,16
crossprod,16
scale_y_logit,16
dlmModReg,16
scale_x_log10,16
pointLabel2,16
dashes,16
as.integer,15
deparse,15
pushViewport,15
show.layout,15
warning,15
maestra,14
geom_errorbar,14
binomial,14
unlist,14
dlmModTrig,14
calc.ad,14
varImpPlot,14
precio.delta,14
invisible,14
format,14
dlmForecast,14
m.2,14
grid.newpage,14
dbSendQuery,14
substr,13
geom_ribbon,13
radial,13
rev,13
array,13
plot.gbm,13
calcula.fecha,13
scale_x_continuous,13
tablaPonMulttuf,13
mod.logistico,12
porc.tabla,12
porc,12
sub,12
cumsum,12
cor,12
attributes,12
as.logical,12
file,12
update_geom_defaults,12
dlmSmooth,11
arrange,11
dir,11
dbConnect,11
title,11
se.coef,11
TermDocumentMatrix,11
scale_x_logit,11
read.dta,10
recuperar,10
numeroResp,10
corregir.cadenas,10
margen.pond,10
warn,10
axis,10
variable.name,10
break,10
tableuDataTB,10
extrapola,10
close,10
ModTabla,10
cuantil.fecha,10
dbDriver,10
dbHasCompleted,10
file.path,10
match,10
Encoding,10
RangoPreguntas,10
range,10
o.kid,10
igual,9
while,9
mod.optim,9
tsp,9
write.foreign,9
arrows,9
week,9
as.vector,9
is.matrix,9
Tab,9
setequal,9
gettextf,9
DocumentTermMatrix,9
points,9
EscribeTabla,9
grafica,9
palette,9
row.names,9
diff,9
position_jitter,9
mmplot,9
quantcut,8
EvaluacionLugar,8
readLines,8
removeSparseTerms,8
sustituir.nombres,8
gaussian,8
NROW,8
tmrBase,8
seq.dates,8
slot,8
qt,8
clust.pregs,8
dlmSvd2var,8
cambios,8
geom_density,8
coefplot,8
update,8
eval,8
TabCompVars,8
tcrossprod,7
WriteTabs.l,7
invLogit,7
geom_rect,7
fitted.2,7
grps.delta,7
prune,7
tmrCol,7
tablasCompraFut,7
mediasGrupo,7
ranking,7
aes_string,7
Top2Bot2,7
limpiar.col,7
result,7
calcular.margen,7
identical,7
tmrRep,7
jags,7
NumeroResp,7
juntaBases,7
barplot,7
CreaBase_TableuTMR,7
iterador,7
quant.cut,6
graf.sims,6
is.complex,6
scale_fill_continuous,6
as.POSIXct,6
su,6
parse,6
ldply,6
cambiaEscala,6
theme_set,6
theme_update,6
spline,6
times,6
biplotCoords,6
as.duration,6
qqplot,6
as.table,6
write.xls,6
LimpiarBases,6
geom_tile,6
hijo,6
convert_UTF_8,6
rgamma,6
PrinComp,6
masMenos,6
character,6
adstock,6
tabla.c,6
predict.gbm,6
geom_segment,6
plotcp,6
transform,6
histogram,6
visitas.pab,5
box,5
prop.g,5
pretty,5
on.exit,5
fitdistr,5
traceplot,5
CambiarSub,5
labels,5
optBlock,5
TipoPeriodo,5
outer,5
qqmath,5
PregsComptencia,5
correModelo,5
tiempo.pab,5
within,5
tmr_binarias,5
all,4
resp.mult,4
agregaCategoria,4
try,4
calculaAdStock,4
inv.logit,4
is.ordered,4
_BD_,4
sin,4
limpiar,4
row_sums,4
expm1,4
weightTfIdf,4
quartz.plot,4
aaply,4
gusta,4
termFreq,4
prop.gpo,4
Entretenimiento_Imagen,4
double,4
PlainTextDocument,4
ArrastrarResp,4
tkplot,4
scale_size,4
binaria,4
SubBases,4
cos,4
TablasCruces,4
poly,4
reorder.factor,4
ComparativoCompetenciaKidzania_GG,4
TablasSeccion,4
getwd,4
is.factor,4
aggregate,4
TablasTotales,4
rexp,4
colSums,4
bases,4
pen,4
addmargins,4
estima_grafica_sin_prd,4
TabComp,4
Tablas,4
ArrastrarRespTelefonos,4
proporciones,3
sign,3
dgamma,3
ModificacionTablasTotales,3
RespUnica,3
imprime,3
hours,3
segments,3
Matrix,3
tmrRawCross,3
transformaFecha,3
splom,3
promedio.fac,3
mi,3
CrucesEntSalComp,3
scale_y_log,3
filter,3
mi.info,3
fn,3
geom_errorbarh,3
imprime.ROT1,3
numeric,3
meta,3
Recode10001.icross,3
tmrRawSplit,3
mod.forecast,3
rake.1,3
scale_shape,3
vplayout2,3
append,3
pbapply,3
mencion.atributo,3
scale_colour_brewer,3
dlmFilterDF,3
object.size,3
rdply,3
poLCA,3
distancia,3
pegar.cols,3
Surv,3
bestModel,3
imprime.ROT2,3
corregir.fechas,3
ls.objects,3
RazonesComptencia,3
stepArchetypes,3
getOption,3
tm_tag_score,3
Graficatotal,3
encontrar.cluster,3
storage.mode,3
prod,3
capture.output,3
quitaAcento,3
biplotCoords2,3
arms,3
Promedios,3
anova,3
se.fixef,3
recodificaSKU,3
respMult,3
layout.mds,3
describe,3
postscript,3
tablaPonAuxtuf,3
difftime,3
grid.arrange,2
description,2
Recode7.i,2
helpr,2
TablasCruzadas,2
tabla.perfiles,2
Recode3,2
Recode3.i,2
as.list,2
Recode9,2
Grafs.Cruces,2
new,2
strata,2
legend,2
is.integer,2
write.basicas,2
score_vars,2
colorRampPalette,2
combs,2
Grafs.Totales,2
MaxZoom,2
barchart.df,2
TablasDatMig,2
draw.tree,2
as.dist,2
jags.samples,2
mdy,2
PregsRecordacion,2
Recode7,2
Recode5,2
Recode4,2
tag,2
JuntarColumnas,2
SeleccionFecha,2
query,2
coord.etiquetas,2
fkf,2
ModFechasSOM,2
is.double,2
WriteTablesCross,2
nlevels,2
count,2
now,2
plt.cc,2
VariablesRecodificacion,2
arrow,2
fac.m,2
color.palette,2
todo,2
PlotOnStaticMap,2
Convert_DataBin,2
rect,2
str_split_fixed,2
turf,2
correr.modelo,2
correModelo2,2
jags.model,2
1.nivel,2
datos_v4,2
ks.test,2
Recode6.i,2
distribucion.delta,2
Seccion6prueba,2
cc,2
Recode2.i,2
parent.frame,2
Tablas_Establecimientos,2
GetMap,2
Recode8,2
WriteTablesTotal,2
TablasPreguntaMig,2
TablasDat,2
remove,2
medias,2
findFreqTerms,2
seq.Date,2
pegarVars,2
describe.df,2
glmer,2
ModFechasAYU,2
devSVG,2
str,2
TablasSeccion9,2
bases2010,2
boxed.labels,2
reload.project,2
remove.vars,2
GraficasTablas,2
strftime,2
TotalesID,2
sweep,2
EscribirTablas,2
cap42,2
is.character,2
ModFechas,2
Recode6,2
pbsapply,2
