funcion,frequencia
function,1159
names,1048
apply,708
table,695
factor,609
aes,576
data.frame,554
ggplot,520
paste,496
nrow,485
sapply,434
mean,431
ddply,430
as.character,406
sum,335
as.numeric,332
length,332
geom_point,328
levels,327
quantile,299
library,277
round,273
ylab,267
lapply,262
xlab,260
grep,259
write.table,250
for,248
unique,240
join,235
rownames,233
subset,222
recode,206
opts,202
list,184
prop.table,176
melt,169
cache,162
print,161
load.project,152
facet_wrap,143
coord_flip,138
Reduce,135
sink,134
setdiff,130
gsub,125
geom_linerange,117
sort,115
write.csv,115
dim,111
geom_hline,107
dnorm,105
geom_smooth,102
rbind,98
rnorm,96
geom_line,94
sqrt,94
scale,93
is.na,92
head,92
plot,84
colnames,84
geom_text,82
abs,79
sample,73
order,71
recodificaPregs,70
bayesglm,68
cast,68
sd,67
rep,67
display,67
cbind,65
ncol,65
expect_that,63
if,63
geom_histogram,58
reorder,56
cat,56
prop,56
exp,55
set.seed,52
dbern,52
as.matrix,51
chron,50
geom_jitter,50
jags,50
geom_vline,48
dbin,47
theme_text,42
geom_abline,42
union,39
dbeta,38
ylim,38
seq,38
attr,37
median,37
return,36
invlogit,36
geom_density,36
prop_2,35
fitted,35
log,35
read.csv,34
facet_grid,34
tmrRaw,33
system.time,32
is_true,32
replicate,32
equals,31
fisher.test,31
rdply,31
position_jitter,31
geom_boxplot,31
is.null,30
which,29
load,29
scale_colour_manual,29
getOption,28
sim,27
dev.off,27
pdf,27
intersect,26
binomial,25
ilogit,24
qplot,23
fitdistr,23
dlply,23
cut2,22
hist,22
formatoFecha,22
runif,21
stop,21
class,19
gc,18
xlim,18
as.formula,18
perfiles,18
interaction,18
setwd,18
model.matrix,17
coef,17
pointLabel,17
year,16
scale_x_continuous,16
rbinom,15
system,15
ca,15
formula,14
rm,14
perfilesColumna,14
dunif,14
max,13
fixef,13
margin.table,13
ns,13
lm,12
matrix,12
lmer,12
get,11
imprimir,11
scale_y_sqrt,11
perfilesRenglon,10
tableuDataTB,10
resp.mult,10
cut,10
sim.dent,9
predict,9
geom_pointrange,9
theme_rect,9
save,9
cutree,9
write.csv2,9
str_sub,8
min,8
Tablas,8
diag,7
rhierMnlRwMixture,7
is.nan,7
princomp,7
do.call,7
Top2Bot2,7
tmr,7
na.omit,7
dist,6
rbeta,6
LimpiarBasesT,6
theme_blank,6
MCA,6
summary,6
logit,6
any,6
rdirichlet,6
correr.mds,6
strsplit,6
scale_y_continuous,6
hclust,6
warning,6
with,5
invisible,5
napply,5
ifelse,5
scale_fill_manual,5
quartz,5
str_split,5
all,4
arrange,4
traceplot,4
substitute,4
geom_ribbon,4
abline,4
rev,4
as.Date,4
setequal,4
gettextf,4
Cuantiles,4
glmer,4
biplotCustom,4
geom_bar,4
deparse,4
match,4
tail,3
numeroResp,3
as.integer,3
sanitize,3
str_trim,3
read.spss,3
TipoPeriodoT,3
unclass,3
unlist,3
creaID,3
dates,3
pow,3
generar.lgtdata,3
biplot,3
generar.seleccion,3
recodificaHibrido,3
is.list,3
GraficasConocimiento_Uso,3
floor,3
TopShare_Noticias,3
environment,2
printcp,2
is.complex,2
glm,2
write.basicas,2
PreguntasBasicas,2
biplotCoords2,2
pbeta,2
plotCaRota,2
heatmap,2
JoinIngMIg,2
triangle.plot,2
ls,2
JoinIngInd,2
geom_path,2
ranef,2
scale_fill_brewer,2
efectividad,2
NROW,2
biplotCoords,2
round_date,2
BaseEstab,2
Tablas_Establecimientos,2
text,2
LimpiarBases,2
row.names,2
rpart,2
is.character,2
FechasPeriodo,2
anova,2
evaluar.importancia,2
Write.Tablas,2
kmeans,2
NumeroResp,2
as,2
expand.grid,2
month,1
WriteTablas.est,1
ecdf,1
string,1
is.numeric,1
vector,1
gregexpr,1
ymd_hms,1
options,1
inv.logit,1
despues.mult,1
unit,1
read.table,1
scale_color_manual,1
mi,1
mi.info,1
Tablas.Ingmig,1
date,1
fn,1
sanitize.numbers,1
regexpr,1
GraficasUlt3Frec,1
sanitize.final,1
cv.glmnet,1
dbinom,1
is.matrix,1
recast,1
days,1
registerDoMC,1
colnames.function,1
loadings,1
tmrMod,1
regmatches,1
prune,1
quantcut,1
system.file,1
Call,1
boxplot,1
tolower,1
rec.p1,1
R.Version,1
llply,1
ymd,1
combn,1
packageDescription,1
rsq.rpart,1
TipoPeriodo,1
missing,1
reload.project,1
ModFechas,1
plot.MCA,1
principal.curve,1
hms,1
GrafPreferenciaProto.BOOT,1
importancia.2,1
is.vector,1
phi,1
is.factor,1
text.function,1
tune,1
residuals,1
ls.objects,1
is.element,1
source,1
as.factor,1
prcomp,1
rlply,1
scale_x_log10,1
mclapply,1
bs,1
write.tabs,1
plotcp,1
EvalPregunta,1
upper.tri,1
var,1
write.ingmig,1
rownames.function,1
randomForest,1
which.min,1
update,1
spss.file,1
svm,1
